20 20
3.61714	4.42972	8.22076	2.20281	1.35835	2.95594	2.22038	6.48246	2.48498	3.05853	9.20073	8.78003	0.83633	2.08473	1.70240	7.62586	0.78597	3.67115	0.62255	8.93293
6.39520	7.44811	5.14464	6.83399	8.60310	3.46700	0.25986	7.61044	4.08543	9.02895	7.11540	3.65260	0.39151	0.77728	8.02477	6.57172	9.78709	0.65801	5.08096	1.90788
2.01882	4.26028	2.92669	9.11942	1.35991	1.13423	4.66164	3.87445	6.90719	2.30539	3.48985	3.24438	8.34841	1.73392	2.22928	1.48778	9.48358	5.62625	7.69193	7.96306
4.23766	6.72662	5.12813	0.28745	8.94872	8.06159	0.19691	8.71679	4.21139	8.91553	7.15110	3.66154	3.79692	3.07726	6.05035	4.71399	2.87099	8.70497	3.40779	2.19691
2.50783	4.86823	6.20216	7.81652	0.74907	3.01389	7.29895	0.26117	3.19970	6.24966	6.12803	3.81768	4.27194	1.86765	6.98593	7.72997	8.41935	3.25903	5.73333	6.69630
9.19048	5.07802	5.24905	8.63676	8.29817	5.69203	9.90138	6.93300	0.76696	1.07316	1.35129	7.44970	4.00128	3.45312	7.97865	0.50450	0.60247	5.46425	8.07621	7.06981
2.87425	5.09165	6.54668	2.11438	7.61866	6.49476	3.91952	2.12131	0.90409	2.95555	8.61074	7.74699	7.90662	5.45099	9.50760	4.86615	7.81914	6.95165	2.35154	4.47352
5.57186	4.76720	8.50781	7.89470	0.53434	4.84734	5.57363	8.39999	1.94661	2.37069	0.92523	9.88694	6.54179	8.14526	3.10127	4.60831	3.88570	6.81341	5.10554	1.07179
1.13036	8.81172	4.16693	8.36103	9.52750	5.74218	7.40407	3.73561	1.98240	8.80101	4.08693	5.31847	1.86083	7.82187	4.84200	3.85669	6.20760	5.51298	7.08297	4.73313
3.46472	3.14297	7.50471	6.43712	7.23207	2.84618	2.96206	7.31004	3.98846	8.98475	7.33146	2.55993	2.69614	6.40741	6.05520	4.46344	8.71218	3.64155	5.34163	0.60703
0.12722	7.20130	7.47889	5.83429	1.92194	5.00443	4.86438	2.90468	9.86187	8.35595	4.18587	4.29097	9.87990	9.57713	6.20409	2.07937	2.05463	3.06647	2.14959	3.25603
9.17386	4.76831	7.68199	8.29351	3.65570	0.72727	7.20335	3.89995	1.78766	5.72427	1.95861	2.67608	3.95034	6.86972	8.90978	0.36154	1.60687	3.30346	0.23561	8.31874
4.10014	6.10211	4.25155	3.76913	0.96792	9.76980	4.37689	1.31309	7.19570	9.23942	7.14147	0.33172	1.60011	2.68665	5.69473	6.31871	3.49076	3.25188	8.44919	5.33785
6.56705	8.79326	6.77134	6.30986	4.51620	8.34997	9.32424	4.94648	2.20760	4.73220	8.24587	3.65450	2.16410	1.20796	4.70041	2.93606	9.06691	9.41751	6.09626	5.34781
3.59096	7.08667	5.15654	3.56741	2.31579	6.96363	2.94200	2.34745	9.88241	4.55102	7.13150	0.47063	3.04789	7.74048	7.77170	3.33636	9.92915	7.93738	0.30421	7.31532
4.52038	4.92288	1.41513	2.88211	2.66732	2.49429	7.18150	2.66169	2.00405	0.39345	7.38613	8.43119	5.24179	2.60583	6.05599	7.31021	9.58204	2.16934	9.54685	0.38856
1.02289	0.43797	4.37221	0.29989	9.51888	1.08488	0.50264	4.65711	6.29573	3.93517	8.30470	2.04972	3.47042	6.83182	8.99628	9.75726	1.87549	9.48718	4.93154	4.48303
9.14076	3.43324	6.63369	8.33374	3.79227	2.83718	1.41218	2.11099	1.15161	1.46993	1.19335	0.85707	4.27762	0.44492	2.96556	5.65788	4.10730	2.18206	0.64310	5.16060
9.61010	4.83255	0.56988	4.10385	9.15971	6.24934	2.12040	2.74178	5.55376	9.04559	2.65315	2.72149	6.50499	5.86525	7.41072	1.92381	4.82864	6.69977	3.83908	3.16647
1.57254	5.00784	9.84512	3.00324	3.62996	2.96714	8.62237	1.87716	5.59720	2.47634	5.90390	5.80743	8.20415	0.96428	4.04066	8.16934	3.21693	9.26015	8.20398	7.45319
