10 10
2.71770	5.75936	6.03078	1.70782	2.45389	8.16545	7.10597	7.52519	5.89413	0.29183
1.94447	6.05586	5.83683	5.20750	1.52291	7.01765	8.61960	8.75826	2.08233	1.11184
8.59742	5.33233	3.03476	7.02263	5.53041	0.97180	8.91538	8.61457	1.88968	9.28780
1.72087	1.71110	7.10201	0.72269	3.90871	2.44914	0.32456	8.76835	7.04495	2.70605
7.66706	6.33650	3.99365	4.97513	1.12410	7.52794	5.61999	6.99627	9.77588	8.98059
4.03903	9.98017	7.07367	6.90973	8.96273	5.44083	8.27885	5.90984	9.28616	2.26574
0.66928	1.63325	3.33553	5.09482	7.84013	5.47314	4.90121	6.88268	7.22529	9.95625
8.98808	9.47925	6.20870	2.39617	1.32937	2.71869	6.96357	6.20382	4.40872	8.84380
4.55440	9.45731	4.81841	5.79638	5.04083	1.02247	1.61918	1.80688	0.17949	4.67165
6.89270	8.28620	9.86608	1.39395	2.30931	1.30053	3.57706	5.77350	4.54895	3.07684
